source_metadata_id,ark,manifest_url
99114259783506421,ark:/88435/dcgq67k1977,https://figgy.princeton.edu/concern/scanned_resources/48b11c54-ad35-40c3-8a9d-0734f7417e69/manifest
9971904463506421,ark:/88435/w6634490j,https://figgy.princeton.edu/concern/scanned_resources/6d0d730c-b675-4291-9dba-18948744b7d9/manifest
99114256983506421,ark:/88435/9880w163s,https://figgy.princeton.edu/concern/scanned_resources/6d58d7e8-696e-43c5-bbcd-fa6938e4c948/manifest
9923630673506421,ark:/88435/dcfq9784968,https://figgy.princeton.edu/concern/scanned_resources/3d0c19fa-9482-4a98-affd-6de38fac8f9e/manifest
99114258363506421,ark:/88435/dcrb68xn49f,https://figgy.princeton.edu/concern/scanned_resources/3da79db9-3d71-4e5b-805d-fa572f650bb4/manifest
99114249933506421,ark:/88435/9k41zm438,https://figgy.princeton.edu/concern/scanned_resources/6c8b83ea-662b-43d0-9a58-124273362331/manifest
99114260033506421,ark:/88435/dcpc289t891,https://figgy.princeton.edu/concern/scanned_resources/6cd0b5b2-629b-48e0-abd3-6cf8ec06c29c/manifest
9946941463506421,ark:/88435/3t945x707,https://figgy.princeton.edu/concern/scanned_resources/ebf02a9e-4282-4210-b0c2-8f78632c02a0/manifest
99114262443506421,ark:/88435/6w924n456,https://figgy.princeton.edu/concern/scanned_resources/ec17160b-9863-4a3b-9280-b50806511189/manifest
99114249913506421,ark:/88435/n296x5076,https://figgy.princeton.edu/concern/scanned_resources/f84398b5-18a9-4783-b88f-14b7348abb7a/manifest
99114255903506421,ark:/88435/dc9z9039040,https://figgy.princeton.edu/concern/scanned_resources/dd8842a4-7d21-4dd9-88d8-873aa8faaf97/manifest
9924747183506421,ark:/88435/dcg445cq324,https://figgy.princeton.edu/concern/scanned_resources/da7939e3-0cda-4f65-a43d-04e3311108b3/manifest
99114263013506421,ark:/88435/dcw0892m74n,https://figgy.princeton.edu/concern/scanned_resources/c1857f6f-3c50-44bb-80b0-24456084d19d/manifest
99114261893506421,ark:/88435/dc1r66jb309,https://figgy.princeton.edu/concern/scanned_resources/b98083cf-1b92-4120-b673-f5db1522a14c/manifest
99114262383506421,ark:/88435/bn999h37d,https://figgy.princeton.edu/concern/scanned_resources/b9dc8108-e9f3-48db-a41d-fc9e70f80206/manifest
99114261123506421,ark:/88435/dcff365g05b,https://figgy.princeton.edu/concern/scanned_resources/340fef92-9449-47b3-ad2a-ba3ee08202d2/manifest
99114255383506421,ark:/88435/dch128nq884,https://figgy.princeton.edu/concern/scanned_resources/478b6e92-1c02-4438-9c80-67223f6dd25a/manifest
99114257283506421,ark:/88435/3n204774k,https://figgy.princeton.edu/concern/scanned_resources/4710858e-8df1-4f82-a451-6cdfbbe70712/manifest
9972868663506421,ark:/88435/zw12z667m,https://figgy.princeton.edu/concern/scanned_resources/4eb084bf-a895-4b14-a6b2-754c9b4f3199/manifest
99114250953506421,ark:/88435/h415pm155,https://figgy.princeton.edu/concern/scanned_resources/4e59c3b0-aba5-4ae1-af7f-1989ba0df6a1/manifest
9964738983506421,ark:/88435/h989r3957,https://figgy.princeton.edu/concern/scanned_resources/f7a4282c-437b-48e6-9900-daad14b044f0/manifest
99114256483506421,ark:/88435/0p096h539,https://figgy.princeton.edu/concern/scanned_resources/eb03eb70-b272-4ba9-957e-b16cfe1805c7/manifest
99114262533506421,ark:/88435/dc1r66j9931,https://figgy.princeton.edu/concern/scanned_resources/6bd86403-69dd-41bd-8779-e73308318070/manifest
9912828973506421,ark:/88435/8623j7340,https://figgy.princeton.edu/concern/scanned_resources/e15878de-748d-48d1-816f-02f02e51e37f/manifest
99114261553506421,ark:/88435/td96kc10x,https://figgy.princeton.edu/concern/scanned_resources/a2389536-ffeb-48ba-85e0-2a3378f63233/manifest
9974001043506421,ark:/88435/6d56zz003,https://figgy.princeton.edu/concern/scanned_resources/ff84051c-768a-4c12-baee-0a7d49dc2e29/manifest
99114258353506421,ark:/88435/dcc534fz59z,https://figgy.princeton.edu/concern/scanned_resources/d0501340-eccc-4473-bb89-4d3032c2e7c5/manifest
99114256423506421,ark:/88435/qf85nm91j,https://figgy.princeton.edu/concern/scanned_resources/7d88f925-328b-4677-9a7b-92116de70775/manifest
99114255023506421,ark:/88435/dc8g84mx44w,https://figgy.princeton.edu/concern/scanned_resources/f5fb1cac-1ad5-49a1-a97d-a84043c02906/manifest
99114255353506421,ark:/88435/dcqn59qf17n,https://figgy.princeton.edu/concern/scanned_resources/0c47854e-feb8-4075-affb-f770e36c74fb/manifest
99114260193506421,ark:/88435/dct722hk59v,https://figgy.princeton.edu/concern/scanned_resources/0b1d2dc1-9c1e-43c2-9bd2-a9d82ec786c5/manifest
991043283506421,ark:/88435/dcxs55mn72f,https://figgy.princeton.edu/concern/scanned_resources/46157485-34d8-4d2e-a77d-16b4583b6602/manifest
99114257953506421,ark:/88435/dcdv1403857,https://figgy.princeton.edu/concern/scanned_resources/463634fe-9c5d-458c-a965-f7de55a9c4b6/manifest
